# Matrix with as entries the values of fidelity dimension times x iterations
2.000000000000053402e-01,2.000000000000047573e-01,2.000000000000041189e-01,2.000000000000037026e-01,2.000000000000043687e-01,2.000000000000043687e-01,2.000000000000041189e-01,2.000000000000038691e-01,2.000000000000046185e-01,2.000000000000042022e-01,2.000000000000047573e-01,2.000000000000047573e-01,2.000000000000044520e-01,2.000000000000043687e-01,2.000000000000038691e-01,2.000000000000046185e-01,2.000000000000043687e-01,2.000000000000046185e-01,2.000000000000038691e-01,2.000000000000043687e-01,2.000000000000041189e-01,2.000000000000051459e-01,2.000000000000046185e-01,2.000000000000036748e-01,2.000000000000038691e-01,2.000000000000032307e-01,2.000000000000039524e-01,2.000000000000046185e-01,2.000000000000047573e-01,2.000000000000043687e-01,2.000000000000047573e-01,2.000000000000046185e-01,2.000000000000038691e-01,2.000000000000041189e-01,2.000000000000043687e-01
2.014971769659475165e-01,2.014971769659475165e-01,2.014971769659475165e-01,2.014971769659475165e-01,2.014971769659475165e-01,2.014979704644188629e-01,2.014971769659475165e-01,2.014971769659475165e-01,2.014979704644188629e-01,2.014971769659475165e-01,2.014979704644188629e-01,2.014979704644188629e-01,2.014979704644188629e-01,2.014971769659475165e-01,2.014979704644188629e-01,2.014971769659475165e-01,2.014971769659475165e-01,2.014971769659475165e-01,2.014979704644188629e-01,2.014979704644188629e-01,2.014979704644188629e-01,2.014979704644188629e-01,2.014971769659475165e-01,2.014971769659475165e-01,2.014971769659475165e-01,2.014979704644188629e-01,2.014971769659475165e-01,2.014971769659475165e-01,2.014971769659475165e-01,2.014971769659475165e-01,2.014979704644188629e-01,2.014971769659475165e-01,2.014971769659475165e-01,2.014979704644188629e-01,2.014971769659475165e-01
2.059676095153158693e-01,2.059645130161141258e-01,2.059645130161141258e-01,2.059676095153158693e-01,2.059676095153158693e-01,2.059676095153158693e-01,2.059645130161141258e-01,2.059676095153158693e-01,2.059645130161141258e-01,2.059645130161141258e-01,2.059645130161141258e-01,2.059676095153158693e-01,2.059645130161141258e-01,2.059676095153158693e-01,2.059676095153158693e-01,2.059676095153158693e-01,2.059645130161141258e-01,2.059645130161141258e-01,2.059645130161141258e-01,2.059676095153158693e-01,2.059645130161141258e-01,2.059645130161141258e-01,2.059676095153158693e-01,2.059645130161141258e-01,2.059676095153158693e-01,2.059676095153158693e-01,2.059676095153158693e-01,2.059676095153158693e-01,2.059676095153158693e-01,2.059676095153158693e-01,2.059676095153158693e-01,2.059645130161141258e-01,2.059676095153158693e-01,2.059645130161141258e-01,2.059645130161141258e-01
2.133300318694185127e-01,2.133367122788578374e-01,2.133300318694185127e-01,2.133367122788578374e-01,2.133300318694185127e-01,2.133367122788578374e-01,2.133367122788578374e-01,2.133367122788578374e-01,2.133300318694185127e-01,2.133300318694185127e-01,2.133367122788578374e-01,2.133367122788578374e-01,2.133300318694185127e-01,2.133300318694185127e-01,2.133367122788578374e-01,2.133367122788578374e-01,2.133367122788578374e-01,2.133300318694185127e-01,2.133367122788578374e-01,2.133300318694185127e-01,2.133367122788578374e-01,2.133300318694185127e-01,2.133367122788578374e-01,2.133300318694185127e-01,2.133300318694185127e-01,2.133300318694185127e-01,2.133367122788578374e-01,2.133300318694185127e-01,2.133300318694185127e-01,2.133367122788578374e-01,2.133300318694185127e-01,2.133367122788578374e-01,2.133300318694185127e-01,2.133367122788578374e-01,2.133367122788578374e-01
2.234757793088436584e-01,2.234869562984817259e-01,2.234869562984817259e-01,2.234869562984817259e-01,2.234757793088436584e-01,2.234757793088436584e-01,2.234869562984817259e-01,2.234869562984817259e-01,2.234757793088436584e-01,2.234869562984817259e-01,2.234869562984817259e-01,2.234757793088436584e-01,2.234757793088436584e-01,2.234757793088436584e-01,2.234757793088436584e-01,2.234869562984817259e-01,2.234869562984817259e-01,2.234869562984817259e-01,2.234757793088436584e-01,2.234869562984817259e-01,2.234757793088436584e-01,2.234757793088436584e-01,2.234757793088436584e-01,2.234869562984817259e-01,2.234757793088436584e-01,2.234757793088436584e-01,2.234869562984817259e-01,2.234869562984817259e-01,2.234757793088436584e-01,2.234757793088436584e-01,2.234757793088436584e-01,2.234869562984817259e-01,2.234757793088436584e-01,2.234757793088436584e-01,2.234869562984817259e-01
2.362407589004606456e-01,2.362407589004606456e-01,2.362568556108812778e-01,2.362568556108812778e-01,2.362568556108812778e-01,2.362568556108812778e-01,2.362568556108812778e-01,2.362407589004606456e-01,2.362407589004606456e-01,2.362407589004606456e-01,2.362568556108812778e-01,2.362407589004606456e-01,2.362407589004606456e-01,2.362568556108812778e-01,2.362568556108812778e-01,2.362407589004606456e-01,2.362407589004606456e-01,2.362407589004606456e-01,2.362407589004606456e-01,2.362568556108812778e-01,2.362568556108812778e-01,2.362407589004606456e-01,2.362407589004606456e-01,2.362568556108812778e-01,2.362407589004606456e-01,2.362407589004606456e-01,2.362407589004606456e-01,2.362407589004606456e-01,2.362568556108812778e-01,2.362407589004606456e-01,2.362407589004606456e-01,2.362568556108812778e-01,2.362407589004606456e-01,2.362407589004606456e-01,2.362407589004606456e-01
2.514457506796355934e-01,2.514037689177392454e-01,2.514457506796355934e-01,2.514457506796355934e-01,2.514248977105363325e-01,2.514037689177392454e-01,2.514037689177392454e-01,2.514457506796355934e-01,2.514037689177396895e-01,2.514457506796355934e-01,2.514457506796355934e-01,2.514037689177392454e-01,2.514457506796355934e-01,2.514037689177396895e-01,2.513826417720603779e-01,2.513612416395163418e-01,2.513612416395163418e-01,2.514457506796355934e-01,2.513826417720603779e-01,2.514248977105363325e-01,2.514037689177396895e-01,2.514457506796355934e-01,2.514037689177396895e-01,2.514248977105363325e-01,2.514457506796355934e-01,2.514457506796355934e-01,2.513826417720603779e-01,2.514037689177396895e-01,2.514457506796355934e-01,2.514248977105363325e-01,2.514037689177392454e-01,2.514248977105363325e-01,2.514037689177392454e-01,2.514037689177396895e-01,2.514248977105363325e-01
2.688186954572989174e-01,2.687939046656838693e-01,2.687686200435630557e-01,2.687433385076911097e-01,2.687939046656838693e-01,2.688186954572989174e-01,2.687686200435627226e-01,2.687175677531907780e-01,2.688186954572989174e-01,2.687939046656838693e-01,2.687433385076911097e-01,2.687433385076911097e-01,2.688186954572989174e-01,2.688186954572989174e-01,2.687686200435627226e-01,2.687686200435630557e-01,2.687175677531907780e-01,2.688186954572989174e-01,2.687433385076911097e-01,2.688186954572989174e-01,2.687175677531907780e-01,2.688186954572989174e-01,2.688186954572989174e-01,2.688186954572989174e-01,2.687686200435627226e-01,2.687433385076911097e-01,2.687686200435630557e-01,2.687686200435627226e-01,2.688186954572989174e-01,2.688186954572989174e-01,2.687433385076911097e-01,2.687433385076911097e-01,2.687433385076911097e-01,2.688186954572989174e-01,2.687686200435627226e-01
2.879415410942225972e-01,2.879999781707892614e-01,2.879711573385241308e-01,2.879415410942225972e-01,2.879415410942225972e-01,2.879415410942235409e-01,2.880288033683277016e-01,2.880568263008345675e-01,2.879711573385234091e-01,2.880279958004202667e-01,2.880279958004206553e-01,2.880288033683277016e-01,2.881120729412376402e-01,2.880288033683277016e-01,2.881120729412376402e-01,2.879711573385234091e-01,2.880568263008345675e-01,2.879415410942235409e-01,2.879711573385241308e-01,2.880848545396240135e-01,2.880848545396240135e-01,2.880288033683277016e-01,2.880568263008344565e-01,2.879415410942225972e-01,2.879423427163738114e-01,2.879999772614687537e-01,2.880568263008344565e-01,2.880568263008344565e-01,2.880568263008344565e-01,2.879711573385241308e-01,2.880568263008345675e-01,2.879711582735696718e-01,2.880279958004206553e-01,2.881120729412376402e-01,2.881120729412376402e-01
3.090397474176875825e-01,3.090397474176875825e-01,3.090123075244018969e-01,3.089836272914393556e-01,3.088030653602862885e-01,3.089836272914392445e-01,3.089250521384418469e-01,3.089250533240487373e-01,3.089836272914392445e-01,3.089549555807719061e-01,3.090123075244018969e-01,3.087707534716518931e-01,3.090397474176875825e-01,3.090397474176875825e-01,3.089549555807719061e-01,3.089250521384418469e-01,3.090397474176875825e-01,3.089836272914392445e-01,3.090397474176875825e-01,3.089549555807719061e-01,3.089549555807719061e-01,3.089549555807719061e-01,3.089549555807719061e-01,3.089537165140216479e-01,3.088341650147082285e-01,3.088640418104889318e-01,3.089836272914392445e-01,3.089250521384418469e-01,3.089836272914392445e-01,3.089250521384418469e-01,3.090397474176875825e-01,3.089250533240493479e-01,3.089836272914393556e-01,3.088951583523696365e-01,3.089250533240493479e-01
3.311347759500673504e-01,3.312995460523086022e-01,3.311046681853688778e-01,3.312216015350816223e-01,3.311896552426841778e-01,3.311896552426841778e-01,3.312995460523086022e-01,3.310727890271388252e-01,3.309825847247320763e-01,3.311347759500668508e-01,3.310763533581008722e-01,3.311347715674402004e-01,3.309189645026905380e-01,3.310763562763583412e-01,3.312481737217751188e-01,3.311896552426841778e-01,3.311631089441737785e-01,3.310444946394557331e-01,3.311896552426841778e-01,3.309825847247320763e-01,3.312995460523086022e-01,3.311064542699946323e-01,3.312995460523086022e-01,3.311046681853688778e-01,3.309525411716732757e-01,3.311648952170533344e-01,3.312198018740512562e-01,3.311631089441722797e-01,3.311631089441737785e-01,3.310444946394561216e-01,3.311577465155438049e-01,3.311046635342673738e-01,3.312747588445095204e-01,3.311932426305816968e-01,3.308183246427151003e-01
